Staff Group,Comment,No of Comments
Add Prof Scientific and Technic,"As a social worker working as a practitioner my career pathway is stunted.  I cannot progress to Advanced Mental Health Practitioner because I am not allowed to undertake the Non- Medical Prescriber training as I am not a Nurse.  I could do the Approved Mental Health Practitioner Training, but this would be precluded as it is not needed for the service I work in.  I have done what management training is available but this does not progress my career.  I did previously raise this concern with [name removed] a couple of years ago but nothing has changed at all.  Staff hours are taken up with far too many unnecessary meetings that reduce clinical activity and increase waiting times.  Managers are nurses who have been promoted without any business acumen and often without management training.  Induction processes are sadly lacking and new staff are thrown in at the deep end and often leave soon after.  The level of staff resigning due to poor management is excessive and exit interviews should be more radically adhered to and action taken to improve working environments and work pressures.  Increased staffing isn't always the answer.  Mersey care sadly has a policy that if your face fits and you say yes to everything rather than question things you do not progress the level of incestuous progression has always been rife since I first joined the organisation in [date removed].  I moved over to[location removed] which was far more fair and progressive but now Mersey care have taken over I see the same issues creeping in here.  I have recently moved to a newly developing team and so far so good the other staff and managers have a positive outlook on patient care as a priority and I will be happy to stay here to support its development until my retirement.",1
Add Prof Scientific and Technic,"Career progression is limited because it is not offered to all, just those that tick the right boxes or do certain roles.  Changing your role or seeking training whilst supporting a family is extremely difficult.",1
Add Prof Scientific and Technic,"Changes to management structure are risky, dangerous and creating a closed culture.  It's very concerning.",1
Add Prof Scientific and Technic,Communicate more and recognise concerns because this trust is bleeding good staff.,1
Add Prof Scientific and Technic,Currently happy in my role.,1
Add Prof Scientific and Technic,"From my own experience and speaking to colleagues, where staff have experienced a lack of respect and civility in the workplace it seems to be most common when interacting with medical staff and many people still find this difficult to challenge due to the power difference.  Whilst hopefully a minority, I think this is something that needs addressing in this staff group.",1
Add Prof Scientific and Technic,"Healthier food options at Hollins Park please, salad is not often available, cooked meals are fine but too heavy for lunchtime, need lighter options with plenty of fresh salad available.",1
Add Prof Scientific and Technic,"I am generally happy with the organisation and the team I work in.  However following the Southport attack and the Riots, I did not feel supported by my team.",1
Add Prof Scientific and Technic,I am on a fixed term contract which is why I am looking for other roles.,1
Add Prof Scientific and Technic,I do not feel that the surveys accomplish anything solid.  We still do not have the correct working environment or the proper tools to do the job as effectively as we could.  So called flexible working does not appear to be that flexible and is causing more work place stress and complications for staff.,1
Add Prof Scientific and Technic,I enjoy my job and I have a brilliant manager.  I think the organisation I work for works very hard to get things right and is good at listening and responding.  I would definitely recommend this Trust as a place to work and to personally develop.,1
Add Prof Scientific and Technic,"I enjoy working within my team, I feel appreciated most of the time and have no concerns with the direct team.  At times senior management make changes that seem impractical and will not listen to the concerns of the staff, at least initially.",1
Add Prof Scientific and Technic,"I experience the Trust to not be doing enough to promote understanding around Neurodiversity and invisible disabilities to some extent in its service users and families, but significantly so in its workforce.  I have been and can be the receiver of discrimination born out of ignorance rather than maliciousness.  Nonetheless, this is still experienced as shaming/humiliating.  I believe the Trust also needs to still work bottom up concerning this and also the issue of racism experienced by staff.  In my opinion the Trust does nothing about the abuse received by its staff despite posters to the contrary (zero tolerance).",1
Add Prof Scientific and Technic,I feel I get respect from my immediate peers however I feel that staff that there is a huge lack of respect from staff that are line managed.  It can make managers often feel disrespected they will often voice that they will go to unions or FTSU and tend to this as a threat.,1
Add Prof Scientific and Technic,I feel that management (*including wider management) are more focussed on targets and outcomes rather than wellbeing of staff and patients.,1
Add Prof Scientific and Technic,"I feel that some KPIs are unachievable, unfair and take away from patient care, for example access rates.  I also feel the new 15% annual leave KPI affects having a healthy work life balance when annual leave is not granted.",1
Add Prof Scientific and Technic,"I feel that the Trust has worked hard to define the culture at a strategic level.  I feel that there are pockets of great practice and culture and others where there are blocks and the message struggles to penetrate these blocks.  This often corresponds with strength of leadership.  I am confident that the Trust strategy and values will be successful in improving the culture of the organisation at every level.  I'm proud to work for Mersey Care and manage a team.  I work hard to pass on the consistent message of supporting health and wellbeing and investment and recognition of my staff.  I feel supported by my managers to do this.  I work across lots of teams and see differences.  As an organisation which has undergone significant org change, we've come a long way and I have hope for the future.",1
Add Prof Scientific and Technic,I feel the majority of staff around me work very hard.  I feel staff go above and beyond.  I feel working with staff.  Staff can be overworked due to shortages of staff members.  Its a friendly place and it makes a difference when you come to work.  I work in many establishments across the Trust.  I feel the warmth and welcoming of staff makes it a nice place to be.  It is a very challenges role in Mental Health and I feel the majority of staff do this role because they care and are compassionate.,1
Add Prof Scientific and Technic,I feel very lucky working together with amazing professionals.  I feel totally supported and value by my line managers.,1
Add Prof Scientific and Technic,"I generally enjoy my job and value my work.  The most challenging part of work is targets which are often difficult to meet due to the nature in which information is collated.  For example, a client who drops out of treatment following 2 or 3 sessions impacts on therapists overall recovery rate.  I have also noticed an increase in more challenging and complex clients over the past 12 months without any changes to caseload numbers or having extra time to treat this client group.  I would recommend my role to others however feel with a few changes it could be an even better place to work.",1
Add Prof Scientific and Technic,I have a fantastic and very supportive team and I feel extremely supported within my role.,1
