HM1: Division,Comment
Community Care Division,"A big source of dissatisfaction within my role (Assistant Psychologist) is the poor pay and the lack of options for progression.  There are few options for me to progress which I will be likely to get on to (i.e. the doctorate), which combined with the poor pay and challenging nature of the work, is not a good mix for my mental health."
Community Care Division,A four day week would be help with health and well-being allowing more family time and reduce burnout caused by stress and illness.  Offering longer shifts in certain services instead of usual 9-5.
Community Care Division,"Admin staff are being forced to work in the office full time.  Admin are told it doesn't work from home without explanation, it is not true and many admin staff can do their entire job remotely clinical staff are treated better and are allowed to work remotely when they can.  Admin staff are being treated unfairly and do not get the respect they deserve."
Community Care Division,"All my negative comments are the higher management, don't feel apricated, they don't support our team if it wasn't for my colleges in work I would of left years ago, I got diagnosed with [conditions removed] on [date removed].  And heard from no one."
Community Care Division,"Although I thoroughly enjoy being a Nurse.  I feel this role has took it's toll on me emotionally and physically.  I did not go into the profession with the view to earn a lot of money, but to help people.  However the work increased work demands, and the added pressures, increases anxiety that I could do something wrong, forget something, carry out a drug error.  There is no amount of money that would alleviate this feeling.  Furthermore, I have missed Christmas and birthdays with my [family members removed].  I haven't been on a holiday abroad with my [family members removed] in over 12 years due to financial restraints and not being able to book A/L when the [family members removed] are available due to staffing issues.  I am looking to change my career and leave nursing within the near future.  I have not made this decision lightly, questioning myself and looked at the roles I am in, blaming COVID 19 for my feelings.  Reflecting now, its the role as a Nurse that its what has been the issue and made me unhappy."
Community Care Division,"Although this is a great organisation to work for, I do feel many staff abuse the good nature and support of Mersey care as it is a 'Mental Health Advocate'.  I feel HR and decision making on staff is too lenient when it comes to sickness, absence and performance.  Other organisations have trial periods for staff to 'prove' they can do what they confirmed at interview.  Here, as long as you pass the interview, even if poor at your job, you have a job for life.  I work with staff who are on decent pay but play the fool or blame mental health on their performance which is accepted.  They are allowed to continue on low input when others have to work harder to accommodate them and I feel management have their hands tied as HR and Occupational Health support the individual more instead of appreciating the impact on the department/service that the staff member works for.  The organisation and NHS is struggling to provide a great service for patients as we are too busy dealing with problematic staff.  Absence and sickness is too lenient, staff are staged but don't seem to care as staging leads to nothing.  In other organisations the processes in place made you think twice about how bad your record would look having too much sickness and absence and equally you felt bad letting your colleagues down.  Mersey care allow poor attendees and performers to move freely from one department to another with no responsibility.  I feel we are very lucky with the privileges we have working for this organisation as I have worked for some terrible and strict employers and it angers me that with the state the NHS is in, that we have staff who think the organisation owes them a better life and spend more time not working than working and complain.  They have either never worked for another organisation, or forgotten how lucky we are."
Community Care Division,"An NHS budget is a guide, management should concentrate on staff morale as without good staff your never going to hit any target."
Community Care Division,"As a department it is a fact we are short staffed.  And have a exodus of clinicians this year.  While the rest of us perform at our AFC band it is demoralising to see that clinicians are brought in as band 7 AFC and doing band 5-6 work as it was the only way anyone will apply.  Within the profession we have a bad name of over working staff.  The staff that remain are loyal to each other and that is the main reason they are in work.  To have staff in tears daily on a team meeting and stating its too much, I cant cope, stop adding to my case load is heart breaking.  We have manager who is living in the past and how thing's worked where she used to work.  She needs to be in the moment and face with the issues here and now.  Managers saying they see patients in their unpaid lunch, isn't a solution and should be condoned.  As this is then a sign to lower staff members well if manager doing it I must do it as well.  If we need to see patients during unpaid lunch then logistically something requires addressing as just sticking a band aid over a issue doesn't resolve it.  We now see that advertised are positions higher than my pay grade where experience isn't necessary.  So leave they have just qualified from university.  No NHS experience, patient experiences or computer system skills and they are rewarded with a Band 6, a position unobtainable to me after [number removed] years service.  We have band 7's who just seem to spend time in meetings and admin.  In the past three years we have had managers who I personally feel haven't been equipped to do the job, very nice people but not management material.  I feel we are a department lost at sea, bobbing around on a ocean like a rudderless ship.  As AHP we have a duty to maintain our development with CPD.  As I am employed by the NHS this is a mutual arrangement where this essential training to maintain my professionalism is given by the trust.  Continually meeting after meeting and CPD session after CPD session has been cancelled last minute due to staff shortages.  Again this bring despondency to the team.  We get no down time or time to catch up with each other.  As clinicians we work autonomously so we look forward to these sessions.  Our commitment to patients?  We have patients adults and children in pain with acute conditions,  are we being open and honest and writing and telling them just how long they are going to have to wait to have the treatment they are waiting for?"
Community Care Division,"As a whole I feel that we as a team are feeling generally burnt out and that morale is at an all time low- we are currently severely understaffed, operating on EMS level 3 for a long period now with an ever increasing workload which we are expected to complete within an unrealistic time frame.  This in turn is causing many staff to take long term sickness due to work related stress and this is further exacerbating the problem even with aid from other trusts etc.  This has been ongoing now for several months and does not seem to be getting any better and I am concerned about the further implications of this on the team in general.  I would however like to say a massive thank you to the team managers who are doing an excellent job of showing their support towards us as a team during these difficult times and especially towards myself- I am currently going through a lot of [details removed] issues and management have been incredibly supportive towards me with everything from checking in on me regularly to accommodating appointments which I have needed to attend and ensuring I know that they are only a phone call away if needed- in fact I would like to offer my most recent thanks to my team manager for taking time out of there day off to call me after I had emailed to express my levels of work related stress and how this has been affecting me as I really do feel this was above and beyond the call of duty and I would like this to be recognised higher up.  Thank you!"
Community Care Division,As an admin assistant I feel totally indispensable at the moment.  Events have occurred which although they are being looked into I feel this always comes down to cost rather than staff safety.  Far too many managers who seem to give conflicting replies to queries and admin not being replaced making work much more stressful.  Expected to cover a wide variety of duties in different venues so trying to split myself in too many different directions.  I am totally disenchanted with my role at the moment and can't see this improving any time soon.
